CHEMBL271224,2
CHEMBL411298,1
CHEMBL252417,1
CHEMBL404117,1
CHEMBL271223,1
CHEMBL252003,1
CHEMBL254282,1
CHEMBL251804,1
CHEMBL437595,1
CHEMBL4202767,1
CHEMBL257026,1
CHEMBL4444926,1
CHEMBL3235416,1
CHEMBL254493,1
CHEMBL254495,1
CHEMBL254703,1
CHEMBL258683,1
CHEMBL350414,1
CHEMBL163454,1
CHEMBL409721,1
CHEMBL252391,1
CHEMBL4450911,1
CHEMBL257270,1
CHEMBL401397,1
CHEMBL4439726,1
CHEMBL4460127,1
CHEMBL253224,1
CHEMBL405232,1
CHEMBL258333,1
CHEMBL257727,1
CHEMBL4451026,1
CHEMBL257726,1
CHEMBL404044,1
CHEMBL253428,1
CHEMBL400527,1
CHEMBL412123,1
CHEMBL409713,1
CHEMBL269997,1
CHEMBL257229,1
CHEMBL269996,1
CHEMBL271225,1
CHEMBL398545,1
